Nome,Número,Coleção,Idioma,Estado,Ano,Tipo,Link Liga,Link MYP,Link Cardmarket,Link Tcgplayer,Link PriceCharting,Minimo,Venda Rapida,Menor Liga,Preço,Quantidade
Ting-Lu ex,263/193,Evoluções em Paldea,Alemão,NM,2023,ex — Ilustração Rara Especial,https://www.ligapokemon.com.br/?view=cards/card&card=Ting-Lu+ex%20(263/193)&show=10,https://mypcards.com/pokemon/produto/193198/ting-lu-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Ting-Lu-ex-V3-PAL263,https://www.tcgplayer.com/product/497682?page=1&Language=English,https://www.pricecharting.com/game/pokemon-paldea-evolved/ting-lu-ex-263,"35,4",,70,,1
Revavroom ex,224/197,Obsidiana em Chamas,Português (PT-BR),NM,2023,ex — Ilustração Rara Especial,https://www.ligapokemon.com.br/?view=cards/card&card=Revavroom%20ex%20%28224/197%29&show=1&ed=OBF&num=224,https://mypcards.com/pokemon/produto/199463/revavroom-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Obsidian-Flames/Revavroom-ex-V3-OBF224,https://www.tcgplayer.com/product/509982?page=1&Language=English,https://www.pricecharting.com/game/pokemon-obsidian-flames/revavroom-ex-224,"21,3",,37,,1
Mega Gardevoir ex,178/132,Megaevolução,Português (PT-BR),NM,2025,Mega ex — Ilustração Rara Especial,https://www.ligapokemon.com.br/?view=cards/card&card=Mega%20Gardevoir%20ex%20%28178/132%29&show=1&ed=MEG&num=178,https://mypcards.com/pokemon/produto/294427/mega-gardevoir-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Mega-Evolution/Mega-Gardevoir-ex-V3-MEG178,https://www.tcgplayer.com/product/654517?page=1&Language=English,https://www.pricecharting.com/game/pokemon-mega-evolution/mega-gardevoir-ex-178,"293,3",,"445,9",,1
Mega Heracross ex,108/094,Fogo Fantasmagórico,Português (PT-BR),NM,2025,Mega ex — Ultra Rara,https://www.ligapokemon.com.br/?view=cards/card&card=Mega%20Heracross%20ex%20%28108/094%29&show=1&ed=PFL&num=108,https://mypcards.com/pokemon/produto/300714/mega-heracross-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Phantasmal-Flames/Mega-Heracross-ex-V2-PFL108,https://www.tcgplayer.com/product/662187?page=1&Language=English,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-heracross-ex-108,"7,1",,10,,1
Oricorio ex,024/∞,Megaevolução - Promos,Português (PT-BR),NM,2025,ex — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Oricorio%20ex%20(024/%E2%88%9E)&ed=MEP&num=024,https://mypcards.com/pokemon/produto/304240/oricorio-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/MEP-Black-Star-Promos/Oricorio-ex-MEP024,https://www.tcgplayer.com/product/664010?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/oricorio-ex-24,"20,4",,28,,1
Mega Floette ex,101/086,Caos Ascendente,Português (PT-BR),NM,2026,Mega ex — Ultra Rara,https://www.ligapokemon.com.br/?view=cards/card&card=Mega%20Floette%20ex%20%28101/086%29&show=1&ed=CRI&num=101,https://mypcards.com/pokemon/produto/325081/mega-floette-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Chaos-Rising/Mega-Floette-ex-V2-CRI101,https://www.tcgplayer.com/product/693512?page=1&Language=English,https://www.pricecharting.com/game/pokemon-chaos-rising/mega-floette-ex-101,9,,"15,5",,1
Mega Dragalge ex,104/086,Caos Ascendente,Português (PT-BR),NM,2026,Mega ex — Ultra Rara,https://www.ligapokemon.com.br/?view=cards/card&card=Mega%20Dragalge%20ex%20%28104/086%29&show=1&ed=CRI&num=104,https://mypcards.com/pokemon/produto/325084/mega-dragalge-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Chaos-Rising/Mega-Dragalge-ex-V2-CRI104,https://www.tcgplayer.com/product/693509?page=1&Language=English,https://www.pricecharting.com/game/pokemon-chaos-rising/mega-dragalge-ex-104,"8,9",,15,,2
Pikachu,005/025,Celebrações,Português (PT-BR),NM,2021,Full Art,https://www.ligapokemon.com.br/?view=cards/card&card=Pikachu%20%28005/025%29&show=1&ed=CEL&num=005,https://mypcards.com/pokemon/produto/144185/pikachu,https://www.cardmarket.com/en/Pokemon/Products/Singles/Celebrations/Pikachu-V1-CEL005,https://www.tcgplayer.com/product/250303?page=1&Language=English,https://www.pricecharting.com/game/pokemon-celebrations/pikachu-5,33,,"46,5",,1
Pikachu,TG05/TG30,Origem Perdida,Português (PT-BR),NM,2022,Galeria de Treinador,https://www.ligapokemon.com.br/?view=cards/card&card=Pikachu%20%28TG05/TG30%29&show=1&ed=LORTG&num=TG05,https://mypcards.com/pokemon/produto/168028/pikachu,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Pikachu-V2-LORTG05,https://www.tcgplayer.com/product/284258?page=1&Language=English,https://www.pricecharting.com/game/pokemon-lost-origin/pikachu-tg05,"224,5",,326,,1
Charizard,4/102,Celebrações,Inglês,NM,2021,Coleção Clássica,https://www.ligapokemon.com.br/?view=cards/card&card=Charizard%20(02/25)&show=10&ed=CCC&num=02,https://mypcards.com/pokemon/produto/144245/charizard,https://www.cardmarket.com/en/Pokemon/Products/Singles/Celebrations/Charizard-V1-CELBS-4,https://www.tcgplayer.com/product/250320?page=1&Language=English,https://www.pricecharting.com/game/pokemon-celebrations/charizard-4,"1011,1",,1460,,1
Pikachu EX,XY124,XY — Promos,Português (PT-BR),NM,2016,EX — Full Art — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Pikachu%20EX%20%28XY124%29&show=1&ed=XYP&num=XY124,https://mypcards.com/pokemon/produto/41817/pikachu-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/XY-Black-Star-Promos/Pikachu-EX-V1-XYPRXY124,https://www.tcgplayer.com/product/123436?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/pikachu-ex-xy124,1063,,1900,,1
Pikachu EX,XY124,XY — Promos,Português (PT-BR),MP,2016,EX — Full Art — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Pikachu%20EX%20%28XY124%29&show=1&ed=XYP&num=XY124,https://mypcards.com/pokemon/produto/41817/pikachu-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/XY-Black-Star-Promos/Pikachu-EX-V1-XYPRXY124,https://www.tcgplayer.com/product/123436?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/pikachu-ex-xy124,285,,"378,9",,1
Charizard V,SWSH260,Espada e Escudo — Promos,Inglês,NM,2022,V — Arte Alternativa — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Charizard-V%20(SWSH260/71)&show=1&ed=SSPR&num=SWSH260,https://mypcards.com/pokemon/produto/175699/charizard-v,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Charizard-V-SWSH260,https://www.tcgplayer.com/product/285384?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/charizard-v-swsh260,"383,4",,600,,1
Charizard VMAX,SWSH261,Espada e Escudo — Promos,Inglês,NM,2022,VMAX — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Charizard-VMAX%20(SWSH261/71)&ed=SSPR&num=SWSH261&srsltid=AfmBOoogFrVqq8JfabQsqaayBWuG_NyeP8iHdQ-9coLcYMLYY86vd0ti,https://mypcards.com/pokemon/produto/175700/charizard-vmax,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Charizard-VMAX-SWSH261,https://www.tcgplayer.com/product/285378?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/charizard-vmax-swsh261,"283,3",,490,,1
Eevee VMAX,SWSH087,Espada e Escudo — Promos,Inglês,NM,2021,VMAX — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Eevee-VMAX%20(SWSH087/71)&show=1,https://mypcards.com/pokemon/produto/129746/eevee-vmax,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Eevee-VMAX,https://www.tcgplayer.com/product/232611?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/eevee-vmax-swsh087,"34,8",,49,,2
Tapu Koko VMAX,051/163,Estilos de Batalha,Português (PT-BR),NM,2021,VMAX,https://www.ligapokemon.com.br/?view=cards/card&card=Tapu+Koko-VMAX%20(51/163)&show=1,https://mypcards.com/pokemon/produto/131209/tapu-koko-vmax,https://www.cardmarket.com/en/Pokemon/Products/Singles/Battle-Styles/Tapu-Koko-VMAX,https://www.tcgplayer.com/product/234207?page=1&Language=English,https://www.pricecharting.com/game/pokemon-battle-styles/tapu-koko-vmax-51,"7,3",,13,,1
Pikachu Surfista V,008/025,Celebrações,Inglês,NM,2021,V,https://www.ligapokemon.com.br/?view=cards/card&card=Surfing%20Pikachu%20V%20(008/025)&show=1&ed=CEL&num=008,https://mypcards.com/pokemon/produto/144188/surfing-pikachu-v,https://www.cardmarket.com/en/Pokemon/Products/Singles/Celebrations/Surfing-Pikachu-V,https://www.tcgplayer.com/product/250306?page=1&Language=English,https://www.pricecharting.com/game/pokemon-celebrations/surfing-pikachu-v-8,"16,7",,"34,9",,2
Pikachu Surfista V,008/025,Celebrações,Português (PT-BR),NM,2021,V,https://www.ligapokemon.com.br/?view=cards/card&card=Surfing%20Pikachu%20V%20(008/025)&show=1&ed=CEL&num=008,https://mypcards.com/pokemon/produto/144188/surfing-pikachu-v,https://www.cardmarket.com/en/Pokemon/Products/Singles/Celebrations/Surfing-Pikachu-V,https://www.tcgplayer.com/product/250306?page=1&Language=English,https://www.pricecharting.com/game/pokemon-celebrations/surfing-pikachu-v-8,"16,7",,30,,1
Pikachu Surfista VMAX,009/025,Celebrações,Inglês,NM,2021,VMAX,https://www.ligapokemon.com.br/?view=cards/card&card=Surfing+Pikachu-VMAX%20(09/25)&show=1&ed=CEL&num=09,https://mypcards.com/pokemon/produto/144189/surfing-pikachu-vmax,https://www.cardmarket.com/en/Pokemon/Products/Singles/Celebrations/Surfing-Pikachu-VMAX,https://www.tcgplayer.com/product/250307?page=1&Language=English,https://www.pricecharting.com/game/pokemon-celebrations/surfing-pikachu-vmax-9,"36,2",,80,,1
Charizard V-ASTRO,SWSH262,Espada e Escudo — Promos,Inglês,NM,2022,V-ASTRO — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Charizard%20VSTAR%20(SWSH262)&show=1&ed=SWSHP&num=SWSH262,https://mypcards.com/pokemon/produto/175701/charizard-v-astro,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Charizard-VSTAR-SWSH262,https://www.tcgplayer.com/product/285396?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/charizard-vstar-swsh262,568,,1100,,1
Charizard Radiante,011/078,Pokémon GO,Inglês,NM,2022,Radiante,https://www.ligapokemon.com.br/?view=cards/card&card=Radiant%20Charizard%20(011/078)&show=1&ed=PGO&num=011,https://mypcards.com/pokemon/produto/163932/charizard-radiante,https://www.cardmarket.com/en/Pokemon/Products/Singles/Pokemon-GO/Radiant-Charizard-PGO011,https://www.tcgplayer.com/product/274467?page=1&Language=English,https://www.pricecharting.com/game/pokemon-go/radiant-charizard-11,"127,8",,220,,1
Kyurem VMAX,049/196,Origem Perdida,Português (PT-BR),NM,2022,VMAX,https://www.ligapokemon.com.br/?view=cards/card&card=Kyurem%20VMAX%20(049/196)&show=1&ed=LOR&num=049,https://mypcards.com/pokemon/produto/167855/kyurem-vmax,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Kyurem-VMAX-V1-LOR049,https://www.tcgplayer.com/product/283923?page=1&Language=English,https://www.pricecharting.com/game/pokemon-lost-origin/kyurem-vmax-49,"10,9",,"14,9",,1
Zeraora VMAX,SWSH264,Espada e Escudo — Promos,Português (PT-BR),NM,2022,VMAX — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Zeraora-VMAX(SWSH264/71)&srsltid=AfmBOooi3vLrtkKujMYeP1bEB-WjJCfbYQgGiUcOND5Z-hiyKHRrLRU_,https://mypcards.com/pokemon/produto/175703/zeraora-vmax,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Zeraora-VMAX-SWSH264,https://www.tcgplayer.com/product/449519?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/zeraora-vmax-swsh264,"12,7",,"18,9",,1
Deoxys VMAX,SWSH267,Espada e Escudo — Promos,Português (PT-BR),NM,2022,VMAX — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Deoxys-VMAX%20(SWSH267/71)&show=1,https://mypcards.com/pokemon/produto/175706/deoxys-vmax,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Deoxys-VMAX-SWSH267,https://www.tcgplayer.com/product/449522?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/deoxys-vmax-swsh267,"11,3",,"15,9",,1
Ditto VMAX,051/072,Destinos Brilhantes,Inglês,NM,2021,VMAX,https://www.ligapokemon.com.br/?view=cards/card&card=Ditto%20VMAX%20(051/072)&show=1&ed=SHF&num=051,https://mypcards.com/pokemon/produto/129566/ditto-vmax,https://www.cardmarket.com/en/Pokemon/Products/Singles/Shining-Fates/Ditto-VMAX,https://www.tcgplayer.com/product/232526?page=1&Language=English,https://www.pricecharting.com/game/pokemon-shining-fates/ditto-vmax-51,"17,7",,"24,9",,1
Mega Charizard X ex,013/094,Fogo Fantasmagórico,Português (PT-BR),NM,2025,Mega ex,https://www.ligapokemon.com.br/?view=cards/card&card=Mega%20Charizard%20X%20ex%20(013/094)&show=1&ed=PFL&num=013,https://mypcards.com/pokemon/produto/300619/mega-charizard-x-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Phantasmal-Flames/Mega-Charizard-X-ex-V1-PFL013,https://www.tcgplayer.com/product/662182?page=1&Language=English,https://www.pricecharting.com/game/pokemon-phantasmal-flames/mega-charizard-x-ex-13,"8,4",,"14,5",,2
Mega Charizard X ex,MEP 023,Megaevolução — Promos,Português (PT-BR),NM,2025,Mega ex — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Mega%20Charizard%20X%20ex%20(023/%E2%88%9E)&show=1&ed=MEP&num=023,https://mypcards.com/pokemon/produto/304239/mega-charizard-x-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/MEP-Black-Star-Promos/Mega-Charizard-X-ex-V1-MEP023,https://www.tcgplayer.com/product/659612?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/mega-charizard-x-ex-23,"110,9",,122,,1
Primal Kyogre EX,96/98,Origens Ancestrais,Português (PT-BR),D,2015,Primal EX — Arte Secreta,https://www.ligapokemon.com.br/?view=cards/card&card=Primal%20Kyogre-EX%20(96/98)&show=1&ed=AOR&num=96,https://mypcards.com/pokemon/produto/32735/kyogre-primitivoex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Ancient-Origins/Primal-Kyogre-EX-AOR96,https://www.tcgplayer.com/product/101518?page=1&Language=English,https://www.pricecharting.com/game/pokemon-ancient-origins/primal-kyogre-ex-96,220,,240,,1
M Lucario EX,55a/111,Punhos Furiosos,Inglês,MP,2014,Mega EX — Arte Alternativa,https://www.ligapokemon.com.br/?view=cards/card&card=M%20Lucario-EX%20(55a/111)&show=1&ed=FFI&num=55a,https://mypcards.com/pokemon/produto/66621/m-lucario-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Furious-Fists/MLucario-EX-V2-FFI55a,https://www.tcgplayer.com/product/131695?page=1&Language=English,https://www.pricecharting.com/game/pokemon-furious-fists/m-lucario-ex-55a,"374,8",,900,,1
Diancie EX,72/124,Fusão de Destinos,Português (PT-BR),MP,2016,EX,https://www.ligapokemon.com.br/?view=cards/card&card=Diancie-EX%20(72/124)&show=1&ed=FCO&num=72,https://mypcards.com/pokemon/produto/35562/diancie-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Fates-Collide/Diancie-EX-FCO72,https://www.tcgplayer.com/product/117847?page=1&Language=English,https://www.pricecharting.com/game/pokemon-fates-collide/diancie-ex-72,"7,3",,18,,1
Diancie EX,XY43,XY — Promos,Português (PT-BR),MP,2014,EX — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Diancie-EX%20(XY43/%E2%88%9E)&show=1&ed=XYPR&num=XY43,https://mypcards.com/pokemon/produto/41736/diancie-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/XY-Black-Star-Promos/Diancie-EX-XYPRXY43,https://www.tcgplayer.com/product/96416?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/diancie-ex-xy43,"11,7",,"24,9",,1
M Glalie EX,35/162,Turbo Revolução,Inglês,MP,2015,Mega EX,https://www.ligapokemon.com.br/?view=cards/card&card=M%20Glalie-EX%20(35/162)&show=1&ed=BKT&num=35,https://mypcards.com/pokemon/produto/33450/m-glalie-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/BREAKthrough/MGlalie-EX-BKT35,https://www.tcgplayer.com/product/107154?page=1&Language=English,https://www.pricecharting.com/game/pokemon-breakthrough/m-glalie-ex-35,"18,8",,38,,1
M Mawile EX,XY104,XY — Promos,Inglês,HP,2016,Mega EX — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=M%20Mawile-EX%20(XY104/%E2%88%9E)&show=1&ed=XYPR&num=XY104,https://mypcards.com/pokemon/produto/41797/m-mawile-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/XY-Black-Star-Promos/MMawile-EX-XYPRXY104,https://www.tcgplayer.com/product/118860?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/mega-mawile-ex-xy104,"16,3",,50,,1
Mawile EX,XY103,XY — Promos,Inglês,MP,2016,EX — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Mawile-EX%20(XY103/%E2%88%9E)&show=1&ed=XYPR&num=XY103,https://mypcards.com/pokemon/produto/41796/mawile-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/XY-Black-Star-Promos/Mawile-EX-XYPRXY103,https://www.tcgplayer.com/product/118859?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/mawile-ex-xy103,7,,"24,9",,1
M Alakazam EX,26/124,Fusão de Destinos,Português (PT-BR),HP,2016,Mega EX,https://www.ligapokemon.com.br/?view=cards/card&card=M%20Alakazam-EX%20(26/124)&show=1&ed=FCO&num=26,https://mypcards.com/pokemon/produto/35515/m-alakazam-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Fates-Collide/MAlakazam-EX-V1-FCO26,https://www.tcgplayer.com/product/117515?page=1&Language=English,https://www.pricecharting.com/game/pokemon-fates-collide/m-alakazam-ex-26,"13,5",,"49,9",,1
Gardevoir GX,93/147,Sombras Ardentes,Português (PT-BR),NM,2017,GX,https://www.ligapokemon.com.br/?view=cards/card&card=Gardevoir-GX%20(93/147)&show=1&ed=BUS&num=93,https://mypcards.com/pokemon/produto/64290/gardevoir-gx,https://www.cardmarket.com/en/Pokemon/Products/Singles/Burning-Shadows/Gardevoir-GX-V1-BUS93,https://www.tcgplayer.com/product/138585?page=1&Language=English,https://www.pricecharting.com/game/pokemon-burning-shadows/gardevoir-gx-93,"35,2",,"49,5",,1
Whimsicott GX,140/214,Elos Inquebráveis,Português (PT-BR),NM,2019,GX,https://www.ligapokemon.com.br/?view=cards/card&card=Whimsicott-GX%20(140/214)&show=1&ed=UNB&num=140,https://mypcards.com/pokemon/produto/89321/whimsicott-gx,https://www.cardmarket.com/en/Pokemon/Products/Singles/Unbroken-Bonds/Whimsicott-GX-V1-UNB140,https://www.tcgplayer.com/product/189238?page=1&Language=English,https://www.pricecharting.com/game/pokemon-unbroken-bonds/whimsicott-gx-140,"28,3",,"39,9",,1
Xerneas EX,XY07,XY — Promos,Português (PT-BR),D,2014,EX — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Xerneas-EX%20(XY07/%E2%88%9E)&show=1&ed=XYPR&num=XY07,https://mypcards.com/pokemon/produto/41700/xerneas-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/XY-Black-Star-Promos/Xerneas-EX-V1-XYPRXY07,https://www.tcgplayer.com/product/90673?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/xerneas-ex-xy07,3,,4,,1
Decidueye ex,015/197,Obsidiana em Chamas,Português (PT-BR),NM,2023,ex,https://www.ligapokemon.com.br/?view=cards/card&card=Decidueye%20ex%20(015/197)&show=1&ed=SV3&num=015,https://mypcards.com/pokemon/produto/199254/decidueye-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Obsidian-Flames/Decidueye-ex-V1-OBF015,https://www.tcgplayer.com/product/509719?page=1&Language=English,https://www.pricecharting.com/game/pokemon-obsidian-flames/decidueye-ex-15,"5,8",,"8,2",,1
Hydrapple ex,011/131,Evoluções Prismáticas,Português (PT-BR),NM,2025,ex,https://www.ligapokemon.com.br/?view=cards/card&card=Hydrapple%20ex%20(011/131)&show=1&ed=PRE&num=011,https://mypcards.com/pokemon/produto/260317/hydrapple-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Hydrapple-ex-V1-PRE011,https://www.tcgplayer.com/product/610366?page=1&Language=English,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/hydrapple-ex-11,"3,9",,"6,8",,1
Bulbasaur,133/132 Stamped,Megaevolução,Português (PT-BR),NM,2025,Arte Rara,https://www.ligapokemon.com.br/?view=cards/card&card=Bulbasaur%20(Mega%20Evolution%20Stamp)&ed=MEP&num=133b&srsltid=AfmBOoq_kEPcZBbLO5dECQ2KnE6lF98vDVUUuUu4JVZVedgTqXpQ39Ky,https://mypcards.com/pokemon/produto/294382/bulbasaur,https://www.cardmarket.com/en/Pokemon/Products/Singles/Mega-Evolution/Bulbasaur-V2-MEG133,https://www.tcgplayer.com/product/654472?page=1&Language=English,https://www.pricecharting.com/game/pokemon-mega-evolution/bulbasaur-133,"18,4",,"25,9",,3
Mega Venusaur ex,003/132,Megaevolução,Português (PT-BR),NM,2025,Mega ex,https://www.ligapokemon.com.br/?view=cards/card&card=Mega%20Venusaur%20ex%20(003/132)&show=1&ed=MEG&num=003,https://mypcards.com/pokemon/produto/294251/mega-venusaur-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Mega-Evolution/Mega-Venusaur-ex-V1-MEG003,https://www.tcgplayer.com/product/654342?page=1&Language=English,https://www.pricecharting.com/game/pokemon-mega-evolution/mega-venusaur-ex-3,"3,1",,5,,3
Mega Venusaur ex,155/132,Megaevolução,Português (PT-BR),NM,2025,Mega ex — Full Art,https://www.ligapokemon.com.br/?view=cards/card&card=Mega%20Venusaur%20ex%20(155/132)&show=1&ed=MEG&num=155,https://mypcards.com/pokemon/produto/294404/mega-venusaur-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Mega-Evolution/Mega-Venusaur-ex-V2-MEG155,https://www.tcgplayer.com/product/654494?page=1&Language=English,https://www.pricecharting.com/game/pokemon-mega-evolution/mega-venusaur-ex-155,"17,9",,"31,9",,1
M Latios EX,59/108,Céus Estrondosos,Português (PT-BR),MP,2015,Mega EX,https://www.ligapokemon.com.br/?view=cards/card&card=M%20Latios%20EX%20(59/108)&show=1&ed=ROS&num=59,https://mypcards.com/pokemon/produto/39405/m-latios-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Roaring-Skies/M-Latios-EX-V1-ROS59,https://www.tcgplayer.com/product/98095?page=1&Language=English,https://www.pricecharting.com/game/pokemon-roaring-skies/m-latios-ex-59,"42,5",,90,,1
M Rayquaza EX,61/108,Céus Estrondosos,Português (PT-BR),HP,2015,Mega EX,https://www.ligapokemon.com.br/?view=cards/card&card=M%20Rayquaza%20EX%20(61/108)&show=1&ed=ROS&num=61,https://mypcards.com/pokemon/produto/39407/m-rayquaza-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Roaring-Skies/M-Rayquaza-EX-V1-ROS61,https://www.tcgplayer.com/product/98097?page=1&Language=English,https://www.pricecharting.com/game/pokemon-roaring-skies/m-rayquaza-ex-61,90,,110,,1
Mega Venusaur ex,MEP 013,Megaevolução — Promos,Português (PT-BR),NM,2025,Mega ex — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Mega+Venusaur+ex%20(013/%E2%88%9E)&show=1&ed=MEP&num=013,https://mypcards.com/pokemon/produto/304229/mega-venusaur-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/MEP-Black-Star-Promos/Mega-Venusaur-ex-V1-MEP013,https://www.tcgplayer.com/product/666905?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/mega-venusaur-ex-13,"4,5",,"6,3",,2
Decidueye ex,012/088,Equilíbrio Perfeito,Português (PT-BR),NM,2026,ex,https://www.ligapokemon.com.br/?view=cards/card&card=Decidueye%20ex%20(012/088)&show=1&ed=POR&num=012,https://mypcards.com/pokemon/produto/316717/decidueye-ex-012088,https://www.cardmarket.com/en/Pokemon/Products/Singles/Perfect-Order/Decidueye-ex-V1-POR012,https://www.tcgplayer.com/product/684370?page=1&Language=English,https://www.pricecharting.com/game/pokemon-perfect-order/decidueye-ex-12,"1,85",,"1,9",,2
Beedrill ex,003/086,Caos Ascendente,Português (PT-BR),NM,2026,ex,https://www.ligapokemon.com.br/?view=cards/card&card=Beedrill%20ex%20(003/086)&show=1&ed=CRI&num=003,https://mypcards.com/pokemon/produto/324983/beedrill-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Chaos-Rising/Beedrill-ex-V1-CRI003,https://www.tcgplayer.com/product/693453?page=1&Language=English,https://www.pricecharting.com/game/pokemon-chaos-rising/beedrill-ex-3,"3,2",,"4,5",,1
Incineroar GX,27/149,Sol e Lua,Português (PT-BR),NM,2017,GX,https://www.ligapokemon.com.br/?view=cards/card&card=Incineroar%20GX%20(27/149)&show=1&ed=SUM&num=27,https://mypcards.com/pokemon/produto/40002/incineroar-gx,https://www.cardmarket.com/en/Pokemon/Products/Singles/Sun-Moon/Incineroar-GX-SUM27,https://www.tcgplayer.com/product/126898?page=1&Language=English,https://www.pricecharting.com/game/pokemon-sun-%26-moon/incineroar-gx-27,"5,6",,"8,5",,1
Primarina GX,42/149,Sol e Lua,Inglês,NM,2017,GX,https://www.ligapokemon.com.br/?view=cards/card&card=Primarina%20GX%20(42/149)&show=1&ed=SUM&num=42,https://mypcards.com/pokemon/produto/40017/primarina-gx,https://www.cardmarket.com/en/Pokemon/Products/Singles/Sun-Moon/Primarina-GX-SUM42,https://www.tcgplayer.com/product/126913?page=1&Language=English,https://www.pricecharting.com/game/pokemon-sun-%26-moon/primarina-gx-42,"19,2",,30,,1
Primarina GX,42/149,Sol e Lua,Português (PT-BR),NM,2017,GX,https://www.ligapokemon.com.br/?view=cards/card&card=Primarina%20GX%20(42/149)&show=1&ed=SUM&num=42,https://mypcards.com/pokemon/produto/40017/primarina-gx,https://www.cardmarket.com/en/Pokemon/Products/Singles/Sun-Moon/Primarina-GX-SUM42,https://www.tcgplayer.com/product/126913?page=1&Language=English,https://www.pricecharting.com/game/pokemon-sun-%26-moon/primarina-gx-42,"19,2",,27,,2
Lycanroc GX,SM14,Sol e Lua — Promos,Português (PT-BR),NM,2017,GX — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Lycanroc-GX%20(SM14/250)&ed=SMP&num=SM14&srsltid=AfmBOorInDjYwgWeu2FE3sq92jiLqv3oWc1sfwRWIjtMSy_cxbK4iFql,https://mypcards.com/pokemon/produto/40330/lycanroc-gx,https://www.cardmarket.com/en/Pokemon/Products/Singles/SM-Black-Star-Promos/Lycanroc-GX-SM14,https://www.tcgplayer.com/product/127520?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/lycanroc-gx-sm14,7,,10,,2
