Nome,Número,Coleção,Idioma,Estado,Ano,Tipo,Link Liga,Link MYP,Link Cardmarket,Link Tcgplayer,Link PriceCharting,Minimo,Venda Rapida,Menor Liga,Preço,Quantidade
Umbreon ex,060/131,Evoluções Prismáticas,Português (PT-BR),NM,2025,ex Tera Estelar,https://www.ligapokemon.com.br/?view=cards/card&card=Umbreon%20ex%20(060/131)&show=1&ed=PRE&num=060,https://mypcards.com/pokemon/produto/260366/umbreon-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Umbreon-ex-PRE060,https://www.tcgplayer.com/product/610415?page=1&Language=English,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/umbreon-ex-60,"17,6",,"23,9",,2
Leafeon ex,006/131,Evoluções Prismáticas,Português (PT-BR),NM,2025,ex Tera Estelar,https://www.ligapokemon.com.br/?view=cards/card&card=Leafeon%20ex%20(006/131)&show=1&ed=PRE&num=006,https://mypcards.com/pokemon/produto/260312/leafeon-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Leafeon-ex-PRE006,https://www.tcgplayer.com/product/610361?page=1&Language=English,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/leafeon-ex-6,"11,1",,"19,8",,1
Eevee ex,174,Escarlate e Violeta — Promos,Português (PT-BR),NM,2025,ex Tera Estelar — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Eevee%20ex%20(174/%E2%88%9E)&ed=SVP&num=174&srsltid=AfmBOorl99RfhUUb1zZeei_4P069c2LfRM-xruKCWFWuTrq8l1z28dY9,https://mypcards.com/pokemon/produto/284593/eevee-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/SV-Black-Star-Promos/Eevee-ex-SVP174,https://www.tcgplayer.com/product/632083?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/eevee-ex-174,"20,6",,29,,1
Terapagos ex,092/131,Evoluções Prismáticas,Português (PT-BR),NM,2025,ex Tera Estelar,https://www.ligapokemon.com.br/?view=cards/card&card=Terapagos%20ex%20(092/131)&show=1&ed=PRE&num=092,https://mypcards.com/pokemon/produto/260398/terapagos-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Terapagos-ex-PRE092,https://www.tcgplayer.com/product/610447?page=1&Language=English,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/terapagos-ex-92,"3,3",,"4,7",,2
Forretress ex,005/193,Evoluções em Paldea,Português (PT-BR),NM,2023,ex Tera,https://www.ligapokemon.com.br/?view=cards/card&card=Forretress%20ex%20(005/193)&ed=PAL&num=005&srsltid=AfmBOoqTxQT26WpV0GiA8X9WUgMDJmp28EUsJPN7L_vHoC2hRTXq7l_M,https://mypcards.com/pokemon/produto/192940/forretress-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paldea-Evolved/Forretress-ex-PAL005,https://www.tcgplayer.com/product/497416?page=1&Language=English,https://www.pricecharting.com/game/pokemon-paldea-evolved/forretress-ex-5,"3,2",,"4,5",,2
Ogerpon Máscara Fornalha ex,017/131,Evoluções Prismáticas,Português (PT-BR),NM,2025,ex Tera,https://www.ligapokemon.com.br/?view=cards/card&card=Hearthflame%20Mask%20Ogerpon%20ex%20(017/131)&show=1&ed=PRE&num=017,https://mypcards.com/pokemon/produto/260323/ogerpon-mascara-fornalha-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Hearthflame-Mask-Ogerpon-ex-PRE017,https://www.tcgplayer.com/product/610372?page=1&Language=English,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/hearthflame-mask-ogerpon-ex-17,"2,8",,"3,9",,1
Gyarados ex,225/198,Escarlate e Violeta,Português (PT-BR),NM,2023,ex Tera — Full Art,https://www.ligapokemon.com.br/?view=cards/card&card=Gyarados%20ex%20(225/198)&show=1&ed=SV1&num=225,https://mypcards.com/pokemon/produto/185029/gyarados-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Scarlet-Violet/Gyarados-ex-V2-SVI225,https://www.tcgplayer.com/product/490083?page=1&Language=English,https://www.pricecharting.com/game/pokemon-scarlet-&-violet/gyarados-ex-225,"67,4",,100,,2
Garchomp ex,038/182,Fenda Paradoxal,Português (PT-BR),NM,2023,ex Tera,https://www.ligapokemon.com.br/?view=cards/card&card=Garchomp%20ex%20(038/182)&show=1&ed=PAR&num=038,https://mypcards.com/pokemon/produto/210579/garchomp-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Paradox-Rift/Garchomp-ex-PAR038,https://www.tcgplayer.com/product/523647?page=1&Language=English,https://www.pricecharting.com/game/pokemon-paradox-rift/garchomp-ex-38,"6,9",,"9,7",,1
Lapras ex,032/142,Coroa Estelar,Português (PT-BR),NM,2024,ex Tera Estelar,https://www.ligapokemon.com.br/?view=cards/card&card=Lapras%20ex%20(032/142)&show=1&ed=SCR&num=032,https://mypcards.com/pokemon/produto/247523/lapras-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Lapras-ex-SCR032,https://www.tcgplayer.com/product/567258?page=1&Language=English,https://www.pricecharting.com/game/pokemon-stellar-crown/lapras-ex-32,7,,"9,9",,1
Ogerpon Máscara Nascente ex,027/131,Evoluções Prismáticas,Português (PT-BR),NM,2025,ex Tera,https://www.ligapokemon.com.br/?view=cards/card&card=Wellspring%20Mask%20Ogerpon%20ex%20(027/131)&show=1&ed=PRE&num=027,https://mypcards.com/pokemon/produto/260333/ogerpon-mascara-nascente-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/Prismatic-Evolutions/Wellspring-Mask-Ogerpon-ex-PRE027,https://www.tcgplayer.com/product/610382?page=1&Language=English,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/wellspring-mask-ogerpon-ex-27,"6,2",,"8,7",,1
Gumshoos GX,157/149,Sol e Lua,Português (PT-BR),SP,2017,GX — Secreta,https://www.ligapokemon.com.br/?view=cards/card&card=Gumshoos-GX%20(157/149)&show=1&ed=SUM&num=157,https://mypcards.com/pokemon/produto/40132/gumshoos-gx,https://www.cardmarket.com/en/Pokemon/Products/Singles/Sun-Moon/Gumshoos-GX-V3-SUM157,https://www.tcgplayer.com/product/127196?page=1&Language=English,https://www.pricecharting.com/game/pokemon-sun-&-moon/gumshoos-gx-157,"22,3",,28,,1
Tauros GX,156/149,Sol e Lua,Português (PT-BR),NM,2017,GX — Secreta,https://www.ligapokemon.com.br/?view=cards/card&card=Tauros-GX%20(156/149)&show=1&ed=SUM&num=156,https://mypcards.com/pokemon/produto/40131/tauros-gx,https://www.cardmarket.com/en/Pokemon/Products/Singles/Sun-Moon/Tauros-GX-V3-SUM156,https://www.tcgplayer.com/product/127195?page=1&Language=English,https://www.pricecharting.com/game/pokemon-sun-&-moon/tauros-gx-156,"24,8",,35,,1
Ho-Oh GX,SM80,Sol e Lua — Promos,Português (PT-BR),NM,2017,GX — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Ho-Oh-GX%20(SM80)&show=1&ed=SMP&num=SM80,https://mypcards.com/pokemon/produto/77684/ho-oh-gx,https://www.cardmarket.com/en/Pokemon/Products/Singles/SM-Black-Star-Promos/Ho-Oh-GX-SM80,https://www.tcgplayer.com/product/148425?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/ho-oh-gx-sm80,"35,4",,"49,9",,1
Muk de Alola GX,157/147,Sombras Ardentes,Português (PT-BR),NM,2017,GX — Secreta,https://www.ligapokemon.com.br/?view=cards/card&card=Alolan%20Muk-GX%20(157/147)&show=1&ed=BUS&num=157,https://mypcards.com/pokemon/produto/64354/muk-de-alola-gx,https://www.cardmarket.com/en/Pokemon/Products/Singles/Burning-Shadows/Alolan-Muk-GX-V3-BUS157,https://www.tcgplayer.com/product/138574?page=1&Language=English,https://www.pricecharting.com/game/pokemon-burning-shadows/alolan-muk-gx-157,"21,2",,"29,9",,1
Volcanion EX,XY173,XY — Promos,Português (PT-BR),SP,2016,EX — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Volcanion-EX%20(XY173/%E2%88%9E)&show=10&ed=XYPR&num=XY173,https://mypcards.com/pokemon/produto/41866/volcanion-ex,https://www.cardmarket.com/en/Pokemon/Products/Singles/XY-Black-Star-Promos/Volcanion-EX-XY173,https://www.tcgplayer.com/product/123455?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/volcanion-ex-xy173,"6,5",,10,,1
Marshadow e Machamp-GX,199/214,Elos Inquebráveis,Português (PT-BR),NM,2019,GX — Aliados — Arte Alternativa,https://www.ligapokemon.com.br/?view=cards/card&card=Marshadow%20%26%20Machamp-GX%20(199/214)&show=1&ed=UNB&num=199,https://mypcards.com/pokemon/produto/89380/marshadow-e-machamp-gx,https://www.cardmarket.com/en/Pokemon/Products/Singles/Unbroken-Bonds/Marshadow-Machamp-GX-V3-UNB199,https://www.tcgplayer.com/product/189308?page=1&Language=English,https://www.pricecharting.com/game/pokemon-unbroken-bonds/marshadow-%26-machamp-gx-199,"454,4",,700,,1
Rayquaza VMAX,TG29/TG30,Tempestade Prateada,Português (PT-BR),NM,2022,VMAX — Galeria de Treinador,https://www.ligapokemon.com.br/?view=cards/card&card=Rayquaza%20VMAX%20(TG29/TG30)&show=1&ed=SITTG&num=TG29,https://mypcards.com/pokemon/produto/175001/rayquaza-vmax,https://www.cardmarket.com/en/Pokemon/Products/Singles/Silver-Tempest/Rayquaza-VMAX-SITTG29,https://www.tcgplayer.com/product/452048?page=1&Language=English,https://www.pricecharting.com/game/pokemon-silver-tempest/rayquaza-vmax-tg29,"354,3",,500,,1
Shaymin V-ASTRO,014/172,Astros Cintilantes,Português (PT-BR),NM,2022,V-ASTRO,https://www.ligapokemon.com.br/?view=cards/card&card=Shaymin-VSTAR(14/172)&srsltid=AfmBOooKxCeEzDLVFaW8UkPId_Bq7vY3SWzPZ4DflVlW45QokihDYdNH,https://mypcards.com/pokemon/produto/154842/shaymin-v-astro,https://www.cardmarket.com/en/Pokemon/Products/Singles/Brilliant-Stars/Shaymin-VSTAR-BRS014,https://www.tcgplayer.com/product/263611?page=1&Language=English,https://www.pricecharting.com/game/pokemon-brilliant-stars/shaymin-vstar-14,"9,9",,14,,1
Decidueye de Hisui V-ASTRO,084/189,Estrelas Radiantes,Português (PT-BR),NM,2022,V-ASTRO,https://www.ligapokemon.com.br/?view=cards/card&card=Hisuian+Decidueye-VSTAR%20(084/189)&ed=ASR&num=084,https://mypcards.com/pokemon/produto/160545/decidueye-de-hisui-v-astro,https://www.cardmarket.com/en/Pokemon/Products/Singles/Astral-Radiance/Hisuian-Decidueye-VSTAR-V1-ASR084,https://www.tcgplayer.com/product/272285?page=1&Language=English,https://www.pricecharting.com/game/pokemon-astral-radiance/hisuian-decidueye-vstar-84,7,,12,,1
Mewtwo V,SWSH229,Espada e Escudo — Promos,Inglês,NM,2022,V — Promo,https://www.ligapokemon.com.br/?view=cards/card&card=Mewtwo-V%20(SWSH229/71)&show=1&ed=SSPR&num=SWSH229,https://mypcards.com/pokemon/produto/164895/mewtwo-v,https://www.cardmarket.com/en/Pokemon/Products/Singles/SWSH-Black-Star-Promos/Mewtwo-V-SWSH229,https://www.tcgplayer.com/product/277040?page=1&Language=English,https://www.pricecharting.com/game/pokemon-promo/mewtwo-v-swsh229,"42,6",,60,,1
